Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,3/11/16,10518
Hometown National Bank,Longview,WA,35156,Twin City Bank,10/2/15,10517
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,10/2/15,10516
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",7/10/15,10515
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,5/8/15,10514
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,2/27/15,10513
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,2/13/15,10512
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",1/23/15,10511
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,1/16/15,10510
Northern Star Bank,Mankato,MN,34983,BankVista,12/19/14,10509
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",11/7/14,10508
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,10/24/14,10507
NBRS Financial,Rising Sun,MD,4862,Howard Bank,10/17/14,10506
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",7/25/14,10505
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,7/18/14,10504
The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,6/27/14,10503
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",6/20/14,10501
Valley Bank,Moline,IL,10450,Great Southern Bank,6/20/14,10502
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",5/30/14,10500
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",5/23/14,10499
AztecAmerica Bank,Berwyn,IL,57866,Republic Bank of Chicago,5/16/14,10498
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,4/25/14,10497
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,2/28/14,10496
"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,2/28/14,10495
Syringa Bank,Boise,ID,34296,Sunwest Bank,1/31/14,10494
The Bank of Union,El Reno,OK,17967,BancFirst,1/24/14,10493
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,1/17/14,10492
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",12/13/13,10491
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,10/30/13,10490
First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,9/13/13,10488
The Community's Bank,Bridgeport,CT,57041,No Acquirer,9/13/13,10489
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",8/23/13,10487
